Major Code,Major Minor Desc,Cip Code,Major Minor Intrnl,Major Minor Both,Begin Dte,End Dte,Perkins Prog,Degr Code,Requires English,Teach Eligible,Institut Division Code,Goid,Gainful Employment,Med Dent Int Res,Part Of Teacher Prep Program,Idd Support Program,Ministry Related,Approwversion,User Name,Job Name,Job Time
ORGMT,Organizational Management,,N,M,,2010-09-11 19:00:00.000,N,,Y,N,,152137,N,N,N,N,N,7472787486,LESTES,w_def_major_minor,2012-10-30 06:27:35.863,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PBCOR,Post Bacc Teacher Prep,,N,M,,2012-06-30 19:00:00.000,N,,Y,N,,152138,N,N,N,N,N,7472787487,tculberson,w_def_major_minor,2013-10-05 14:56:02.833,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PEEDU,Physical Education and Health(All Levels),131314,Y,M,,,N,,Y,N,E,152139,N,N,N,N,N,7472787488,lklander,w_def_major_minor,2016-05-19 07:29:44.930,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PEEL,Physical Education Elementary,,N,B,,2010-10-14 19:00:00.000,N,,Y,N,,152140,N,N,N,N,N,7472787489,tculberson,w_def_major_minor,2012-11-21 05:19:56.140,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PESE,Physical Education Secondary,,N,M,,2010-10-14 19:00:00.000,N,,Y,N,,152141,N,N,N,N,N,7472787490,DTENNISON,w_def_major_minor,2016-09-09 06:41:48.033,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PHILO,Philosophy Minor,,N,N,,2010-10-14 19:00:00.000,N,,Y,N,,152142,N,N,N,N,N,7472787491,LESTES,w_def_major_minor,2012-10-24 05:46:49.380,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PHYED,Physical Education (EC-12),,N,M,,2012-06-30 19:00:00.000,N,,Y,N,E,152143,N,N,N,N,N,7472787492,LESTES,w_def_major_minor,2012-10-30 06:27:35.863,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PHYS,Physics,,N,M,,2010-10-14 19:00:00.000,N,,Y,N,,152144,N,N,N,N,N,7472787493,LESTES,w_def_major_minor,2012-10-24 05:46:49.380,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
PSY,Psychology Minor,,Y,N,,,N,,Y,N,,152145,N,N,N,N,N,7472787494,VVALENTINE,w_def_major_minor,2011-02-24 09:06:15.113,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
RELG,Religion,380201,Y,M,,,N,,Y,N,SH,152146,N,N,N,N,N,7472787495,VVALENTINE,w_def_major_minor,2010-10-15 07:45:18.016,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
